"","B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB"
"1762",3.188,3.188,3.188,2.846,2.699,3.188,1.989,1.989,3.027,2.846,1.989,2.047,2.699,2.699,1.989
"1763",-0.81,-0.81,-0.81,-1.075,-1.226,-0.81,-0.642,-0.642,-1.124,-1.075,-0.642,-0.514,-1.226,-1.226,-0.642
"1764",2.486,2.486,2.486,1.83,1.298,2.486,1.68,1.68,1.388,1.83,1.68,2.01,1.298,1.298,1.68
"1765",-1.682,-1.682,-1.682,-1.544,-1.317,-1.682,-1.135,-1.135,-1.302,-1.544,-1.135,-1.124,-1.317,-1.317,-1.135
"1766",2.741,2.741,2.741,2.548,2.572,2.741,1.658,1.658,2.871,2.548,1.658,1.723,2.572,2.572,1.658
"1767",-0.414,-0.414,-0.414,-0.294,-0.043,-0.414,-0.326,-0.326,0.035,-0.294,-0.326,-0.326,-0.043,-0.043,-0.326
"1768",3.155,3.155,3.155,2.849,2.734,3.155,1.889,1.889,3.263,2.849,1.889,2.05,2.734,2.734,1.889
"1769",1.87,1.87,1.87,1.705,1.665,1.87,1.163,1.163,1.917,1.705,1.163,1.252,1.665,1.665,1.163
"1770",-0.897,-0.897,-0.897,-0.601,-0.338,-0.897,-0.472,-0.472,-0.464,-0.601,-0.472,-0.166,-0.338,-0.338,-0.472
"1771",2.589,2.589,2.589,2.802,3.15,2.589,1.554,1.554,3.622,2.802,1.554,1.633,3.15,3.15,1.554
"1772",-0.581,-0.581,-0.581,-0.458,-0.332,-0.581,-0.408,-0.408,-0.378,-0.458,-0.408,-0.324,-0.332,-0.332,-0.408
"1773",-1.195,-1.195,-1.195,-1.398,-1.629,-1.195,-0.918,-0.918,-1.553,-1.398,-0.918,-1.107,-1.629,-1.629,-0.918
"1774",1.43,1.43,1.43,0.965,0.629,1.43,0.639,0.639,0.881,0.965,0.639,0.126,0.629,0.629,0.639
"1775",-1.049,-1.049,-1.049,-1.328,-1.503,-1.049,-0.741,-0.741,-1.533,-1.328,-0.741,-0.692,-1.503,-1.503,-0.741
"1776",0.396,0.396,0.396,0.154,0.083,0.396,0.025,0.025,0.232,0.154,0.025,-0.199,0.083,0.083,0.025
"1777",-1.328,-1.328,-1.328,-1.364,-1.265,-1.328,-1.214,-1.214,-1.139,-1.364,-1.214,-1.677,-1.265,-1.265,-1.214
"1778",-0.826,-0.826,-0.826,-1.159,-1.251,-0.826,-0.841,-0.841,-1.146,-1.159,-0.841,-1.151,-1.251,-1.251,-0.841
"1779",-0.498,-0.498,-0.498,-0.612,-0.845,-0.498,-0.441,-0.441,-0.851,-0.612,-0.441,-0.928,-0.845,-0.845,-0.441
"1780",-1.395,-1.395,-1.395,-1.611,-1.843,-1.395,-0.917,-0.917,-2.079,-1.611,-0.917,-1.142,-1.843,-1.843,-0.917
"1781",-2.3,-2.3,-2.3,-2.159,-2.033,-2.3,-1.578,-1.578,-2.166,-2.159,-1.578,-1.722,-2.033,-2.033,-1.578
"1782",-1.733,-1.733,-1.733,-1.453,-1.18,-1.733,-1.368,-1.368,-1.016,-1.453,-1.368,-1.935,-1.18,-1.18,-1.368
"1783",1.508,1.508,1.508,1.657,1.904,1.508,0.618,0.618,2.402,1.657,0.618,0.176,1.904,1.904,0.618
"1784",3.16,3.16,3.16,3.033,2.985,3.16,1.995,1.995,3.278,3.033,1.995,2.178,2.985,2.985,1.995
"1785",2.645,2.645,2.645,2.448,2.363,2.645,1.63,1.63,2.921,2.448,1.63,1.425,2.363,2.363,1.63
"1786",-1.12,-1.12,-1.12,-1.022,-0.826,-1.12,-0.875,-0.875,-0.574,-1.022,-0.875,-1.134,-0.826,-0.826,-0.875
"1787",2.752,2.752,2.752,2.377,2.102,2.752,1.676,1.676,2.306,2.377,1.676,1.685,2.102,2.102,1.676
"1788",0.186,0.186,0.186,0.073,-0.026,0.186,0.099,0.099,0.02,0.073,0.099,-0.253,-0.026,-0.026,0.099
"1789",-6.355,-6.355,-6.355,-5.533,-5.022,-6.355,-3.81,-3.81,-5.72,-5.533,-3.81,-3.664,-5.022,-5.022,-3.81
"1790",1.713,1.713,1.713,1.696,1.653,1.713,1.155,1.155,1.782,1.696,1.155,1.699,1.653,1.653,1.155
"1791",1.596,1.596,1.596,1.608,1.557,1.596,1.198,1.198,1.488,1.608,1.198,1.728,1.557,1.557,1.198
"1792",5.11,5.11,5.11,4.341,3.8,5.11,3.404,3.404,4.165,4.341,3.404,4.047,3.8,3.8,3.404
"1793",3.019,3.019,3.019,2.773,2.876,3.019,1.62,1.62,3.357,2.773,1.62,1.611,2.876,2.876,1.62
"1794",3.84,3.84,3.84,3.185,2.819,3.84,2.144,2.144,3.468,3.185,2.144,2.003,2.819,2.819,2.144
"1795",0.908,0.908,0.908,0.515,0.292,0.908,0.401,0.401,0.484,0.515,0.401,0.171,0.292,0.292,0.401
"1796",1.442,1.442,1.442,0.983,0.535,1.442,1.056,1.056,0.501,0.983,1.056,1.352,0.535,0.535,1.056
